"Withdrawal Settings","Widerrufs-Einstellungen"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Der Shop wird Ihren Widerruf bearbeiten und Sie bezüglich der nächsten Schritte kontaktieren (z.B. Rücksendung, Rückerstattung)."
"If you have any questions, please contact us.","Bei Fragen kontaktieren Sie uns bitte."
"A new withdrawal request has been submitted.","Ein neuer Widerruf wurde eingereicht."
"Customer Name:","Kundenname:"
"Allowed Order Statuses","Erlaubte Bestellstatus"
"Withdrawal is only possible for orders with one of these statuses. Default: pending, processing, complete.","Widerruf ist nur für Bestellungen mit diesem Status möglich. Standard: pending, processing, complete."
"Customer Email:","Kunden-E-Mail:"
"Please review this withdrawal request and take the necessary steps.","Bitte prüfen Sie diesen Widerruf und leiten Sie die notwendigen Schritte ein."
"Withdrawal is only possible for orders with one of these statuses.","Widerruf ist nur für Bestellungen mit einem dieser Status möglich."
"All items of this order have already been withdrawn.","Alle Artikel dieser Bestellung wurden bereits widerrufen."
"Some items from this order have already been withdrawn. The items marked below are no longer available for withdrawal.","Einige Artikel dieser Bestellung wurden bereits widerrufen. Die unten markierten Artikel stehen nicht mehr für einen Widerruf zur Verfügung."
"Select the items you wish to withdraw. You may withdraw individual items (partial withdrawal) or all items at once.","Wählen Sie die Artikel aus, die Sie widerrufen möchten. Sie können einzelne Artikel (Teilwiderruf) oder alle Artikel auf einmal widerrufen."
"Select Items to Withdraw","Artikel für Widerruf auswählen"
"Select All","Alle auswählen"
"Qty Ordered","Bestellte Menge"
"Qty to Withdraw","Zu widerrufende Menge"
"Withdrawn","Widerrufen"
"Please select at least one item to withdraw.","Bitte wählen Sie mindestens einen Artikel zum Widerrufen aus."
"Invalid item selection.","Ungültige Artikelauswahl."
"One or more selected items have already been withdrawn.","Einer oder mehrere ausgewählte Artikel wurden bereits widerrufen."
"Partial withdrawal is not enabled. Please withdraw the entire order.","Teilwiderruf ist nicht aktiviert. Bitte widerrufen Sie die gesamte Bestellung."
"Partial withdrawal requested by customer on %1. Items: %2","Teilwiderruf durch Kunde angefordert am %1. Artikel: %2"
"partial withdrawal","Teilwiderruf"
"Allow Partial Withdrawal","Teilwiderruf erlauben"
"Allow customers to withdraw individual items instead of the entire order.","Ermöglicht Kunden, einzelne Artikel statt der gesamten Bestellung zu widerrufen."
"Default: No.","Standard: Nein."
"Type","Typ"
"Full","Vollwiderruf"
"Partial","Teilwiderruf"
"We have received your %withdrawal_type_label for Order #%order_increment_id.","Wir haben Ihren %withdrawal_type_label für Bestellung #%order_increment_id erhalten."
"A new %withdrawal_type_label has been submitted.","Ein neuer %withdrawal_type_label wurde eingereicht."
"Withdrawn Items:","Widerrufene Artikel:"
"View Details","Details anzeigen"
"Back to Withdrawal Requests","Zurück zu den Widerrufsanfragen"
"Withdrawal Request #%1","Widerrufsanfrage #%1"
"Withdrawn Items (Partial Withdrawal)","Widerrufene Artikel (Teilwiderruf)"
"Withdrawn Items (Full Withdrawal)","Widerrufene Artikel (Vollwiderruf)"
"No item details recorded for this withdrawal request.","Für diese Widerrufsanfrage wurden keine Artikeldetails gespeichert."
"Qty Withdrawn","Widerrufene Menge"
"Confirm this withdrawal request?","Diese Widerrufsanfrage bestätigen?"
"Reject this withdrawal request?","Diese Widerrufsanfrage ablehnen?"
